"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"RV2,RV3,RV1";"Potentiometer_Alpha_RD901F-40-00D_Single_Vertical";3;"10k";;;
2;"U1";"DIP-14_W7.62mm";1;"TL074";;;
3;"R18,R19";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"220";;;
4;"C10,C4,C11,C12,C1,C3";"C_Rect_L7.2mm_W5.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2";6;"1u";;;
5;"D4,D3,D2,D1";"LED_D3.0mm";4;"LED";;;
6;"C15,C14,C5";"C_Radial_D6.3mm_H11.0mm_P2.50mm";3;"100u";;;
7;"C9,C8";"C_Disc_D3.0mm_W1.6mm_P2.50mm";2;"10n";;;
8;"R21,R20,R6,R17";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";4;"100k";;;
9;"R2,R13,R12,R4,R1,R14";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";6;"1M";;;
10;"C2,C13";"C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2";2;".047u";;;
11;"R11,R10";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"470";;;
12;"SW2,SW3";"3PDT Stomp";2;"~";;;
13;"R8,R9,R7";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";3;"27k";;;
14;"R5,R16";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"100";;;
15;"J2,J4,J1,J3";"CK-644 Cliff Mono 6.35mm Jack";4;"~";;;
16;"J6";"PinHeader_1x07_P1.27mm_Vertical";1;"Conn_01x07_Pin";;;
17;"SEED1";"DaisySeed";1;"~";;;
18;"SW1";"RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm";1;"RotaryEncoder_Switch";;;
19;"U2";"TO-220-3_Vertical";1;"LM7805_TO220";;;
20;"J8,J7";"PinHeader_1x20_P1.27mm_Vertical";2;"Conn_01x20_Pin";;;
21;"R15,R3";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"180";;;
22;"C7";"C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2";1;".1u";;;
23;"J5";"DC Barrel Jack Wire Holes";1;"Barrel_Jack";;;
24;"C6";"C_Rect_L7.2mm_W3.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2";1;".22u";;;
25;"SW5,SW4";"SPDT_Mini_Toggle_1M_Series";2;"SW_SPDT";;;
